,age_preds,age_labels,class_labels,class_preds,genders,races,abs_age_diff
0,60.199031829833984,67.0,5.0,4,Male,White,6.800968170166016
1,57.76376724243164,67.0,5.0,4,Male,White,9.23623275756836
2,54.895626068115234,59.0,4.0,3,Male,Black,4.104373931884766
3,57.00177001953125,60.0,4.0,4,Male,Black,2.99822998046875
4,57.51370620727539,60.0,4.0,4,Male,Black,2.4862937927246094
5,55.03424072265625,60.0,4.0,3,Male,Black,4.96575927734375
6,57.7930908203125,60.0,4.0,4,Male,Black,2.2069091796875
7,56.695228576660156,63.0,4.0,4,Male,Black,6.304771423339844
8,51.974430084228516,58.0,4.0,3,Male,Black,6.025569915771484
9,52.59101486206055,58.0,4.0,3,Male,Black,5.408985137939453
10,56.21186447143555,61.0,4.0,4,Male,Black,4.788135528564453
11,58.06887435913086,64.0,4.0,4,Male,Black,5.931125640869141
12,60.105106353759766,64.0,4.0,4,Male,Black,3.8948936462402344
13,52.14424133300781,58.0,4.0,3,Male,White,5.8557586669921875
14,55.26441192626953,61.0,4.0,4,Male,White,5.735588073730469
15,48.90882873535156,57.0,4.0,3,Male,White,8.091171264648438
16,55.14790725708008,59.0,4.0,4,Male,White,3.852092742919922
17,50.400814056396484,59.0,4.0,3,Male,Black,8.599185943603516
18,52.15897750854492,61.0,4.0,3,Male,Black,8.841022491455078
19,54.94260025024414,62.0,4.0,4,Male,Black,7.057399749755859
20,52.31494140625,62.0,4.0,3,Male,Black,9.68505859375
21,50.56372833251953,55.0,4.0,3,Male,Black,4.436271667480469
22,54.572547912597656,57.0,4.0,3,Male,Black,2.4274520874023438
23,52.864402770996094,57.0,4.0,3,Male,Black,4.135597229003906
24,46.972408294677734,55.0,4.0,3,Male,Black,8.027591705322266
25,49.72909927368164,55.0,4.0,3,Male,Black,5.270900726318359
26,53.76764678955078,57.0,4.0,3,Male,White,3.2323532104492188
27,54.10054016113281,57.0,4.0,3,Male,White,2.8994598388671875
28,55.75249481201172,57.0,4.0,4,Male,White,1.2475051879882812
29,51.75993347167969,57.0,4.0,3,Male,White,5.2400665283203125
30,49.39011764526367,59.0,4.0,3,Male,White,9.609882354736328
31,58.769100189208984,61.0,4.0,4,Male,Black,2.2308998107910156
32,61.330604553222656,62.0,4.0,4,Male,Black,0.6693954467773438
33,52.30807113647461,55.0,4.0,3,Male,Black,2.6919288635253906
34,51.26482391357422,55.0,4.0,3,Male,Black,3.7351760864257812
35,55.170528411865234,55.0,4.0,4,Male,Black,0.17052841186523438
